,Unnamed: 0,id,speed,loss,mae,mape,me,difference
156,156,12.0,6.0,0.1994540244340897,0.1994540244340897,3.3242340087890625,6.184521675109862,-0.18452167510986328
138,138,11.0,4.7,0.19991227984428409,0.19991227984428409,4.253452777862549,4.608038902282715,0.09196109771728532
36,36,3.0,3.0,0.20145393908023834,0.20145393908023834,6.715131759643555,3.201454162597656,-0.20145416259765625
147,147,12.0,3.2,0.2025040835142136,0.2025040835142136,6.328251838684082,3.402503967285156,-0.20250396728515607
62,62,5.0,4.0,0.2029079794883728,0.2029079794883728,5.072700023651123,4.062490940093993,-0.06249094009399414
84,84,7.0,3.5,0.2068130522966385,0.2068130522966385,5.908944129943848,3.692976951599121,-0.1929769515991211
58,58,5.0,3.0,0.2081088423728943,0.2081088423728943,6.936961174011231,3.208109140396118,-0.20810914039611814
30,30,2.0,4.5,0.20926585793495175,0.20926585793495175,4.650352478027344,4.506457328796387,-0.006457328796386719
17,17,1.0,5.2,0.21155978739261627,0.21155978739261627,4.06845760345459,5.146895885467528,0.05310411453247088
95,95,8.0,3.0,0.2167764902114868,0.2167764902114868,7.225882530212402,3.2167768478393555,-0.21677684783935547
25,25,2.0,3.0,0.2171521782875061,0.2171521782875061,7.238405704498291,3.214257001876831,-0.21425700187683105
1,1,0.0,3.2,0.2198207527399063,0.2198207527399063,6.869398593902588,3.4198207855224614,-0.2198207855224608
61,61,5.0,3.7,0.22092826664447784,0.22092826664447784,5.971034049987793,3.7980318069458012,-0.0980318069458006
71,71,6.0,3.5,0.22205482423305511,0.22205482423305511,6.344423770904541,3.6598482131958012,-0.15984821319580078
104,104,8.0,5.2,0.2236095666885376,0.2236095666885376,4.300183773040772,5.317523002624512,-0.11752300262451155
116,116,9.0,4.5,0.2243705689907074,0.2243705689907074,4.986012935638428,4.664298534393311,-0.16429853439331055
169,169,14.0,3.5,0.2252978831529617,0.2252978831529617,6.437082290649414,3.6964528560638423,-0.1964528560638428
43,43,3.0,5.0,0.2302904725074768,0.2302904725074768,4.605809211730957,4.773290157318115,0.2267098426818848
2,2,0.0,3.5,0.23109614849090576,0.23109614849090576,6.6027464866638175,3.5732431411743164,-0.0732431411743164
139,139,11.0,5.0,0.2353830188512802,0.2353830188512802,4.70766019821167,5.203948497772217,-0.2039484977722168
74,74,6.0,4.5,0.23753194510936734,0.23753194510936734,5.278487682342528,4.471578598022461,0.028421401977539062
123,123,10.0,3.7,0.23972328007221225,0.23972328007221225,6.4790077209472665,3.474615812301636,0.22538418769836446
162,162,13.0,4.7,0.24051092565059665,0.24051092565059665,5.117254257202148,4.899923801422119,-0.19992380142211896
119,119,9.0,5.2,0.2410248816013336,0.2410248816013336,4.635094165802002,5.439230918884277,-0.2392309188842772
135,135,11.0,4.0,0.24186153709888455,0.24186153709888455,6.04653787612915,3.784403324127197,0.21559667587280276
67,67,5.0,5.5,0.24676722288131714,0.24676722288131714,4.486676692962647,5.697856903076173,-0.19785690307617188
10,10,1.0,3.0,0.2533520460128784,0.2533520460128784,8.445068359375,3.253352165222168,-0.253352165222168
32,32,2.0,5.0,0.2550804018974304,0.2550804018974304,5.101608276367188,4.806475639343262,0.19352436065673828
154,154,12.0,5.2,0.2552584409713745,0.2552584409713745,4.908815860748291,5.081060886383057,0.11893911361694355
69,69,6.0,3.0,0.2582365274429321,0.2582365274429321,8.607884407043457,3.2582364082336426,-0.2582364082336426
15,15,1.0,4.5,0.2589491903781891,0.2589491903781891,5.7544264793396,4.335618019104004,0.1643819808959961
56,56,4.0,5.2,0.2591677308082581,0.2591677308082581,4.983994960784912,5.441201210021973,-0.2412012100219725
115,115,9.0,4.2,0.2593055069446564,0.2593055069446564,6.173941135406494,4.459305286407472,-0.2593052864074705
31,31,2.0,4.7,0.2613796591758728,0.2613796591758728,5.561269760131836,4.520967483520508,0.17903251647949234
90,90,7.0,5.5,0.2624712586402893,0.2624712586402893,4.772204399108887,5.410682201385498,0.08931779861450195
124,124,10.0,4.0,0.2654473781585693,0.2654473781585693,6.636184215545653,3.8852422237396236,0.11475777626037598
83,83,7.0,3.0,0.2694369852542877,0.2694369852542877,8.981234550476074,3.254331111907959,-0.254331111907959
142,142,11.0,6.0,0.2705228626728058,0.2705228626728058,4.508714199066162,5.739693641662598,0.26030635833740234
128,128,10.0,5.5,0.279276967048645,0.279276967048645,5.077763080596924,5.220722675323486,0.2792773246765137
40,40,3.0,4.0,0.2794416844844818,0.2794416844844818,6.986042499542236,3.72233247756958,0.2776675224304199
107,107,8.0,6.0,0.27976778149604803,0.27976778149604803,4.662796497344972,5.865450859069824,0.13454914093017578
87,87,7.0,4.5,0.28028014302253723,0.28028014302253723,6.228447914123535,4.449873447418213,0.05012655258178711
66,66,5.0,5.2,0.2811172604560852,0.2811172604560852,5.4061012268066415,5.448652744293213,-0.2486527442932127
89,89,7.0,5.0,0.28173962235450745,0.28173962235450745,5.6347923278808585,5.137228012084961,-0.13722801208496094
175,175,14.0,5.5,0.282970130443573,0.282970130443573,5.144911289215088,5.567527294158936,-0.06752729415893555
94,94,7.0,7.0,0.283172219991684,0.283172219991684,4.0453171730041495,6.804765224456787,0.1952347755432129
47,47,3.0,6.2,0.284508615732193,0.284508615732193,4.588849067687988,5.992452621459961,0.20754737854003924
3,3,0.0,4.0,0.28849223256111145,0.28849223256111145,7.212306022644043,3.7702484130859375,0.2297515869140625
117,117,9.0,4.7,0.2915143072605133,0.2915143072605133,6.202432155609131,4.917300224304199,-0.21730022430419904
79,79,6.0,5.7,0.29159387946128845,0.29159387946128845,5.1156816482543945,5.569130420684815,0.13086957931518572
166,166,13.0,6.0,0.2932295501232147,0.2932295501232147,4.88715934753418,5.7192583084106445,0.2807416915893555
170,170,14.0,4.0,0.2957526445388794,0.2957526445388794,7.393815994262695,4.2000460624694815,-0.2000460624694824
105,105,8.0,5.5,0.29580309987068176,0.29580309987068176,5.378237724304199,5.266577243804932,0.2334227561950684
42,42,3.0,4.5,0.2973788380622864,0.2973788380622864,6.608417987823486,4.274484634399413,0.22551536560058594
160,160,13.0,4.0,0.2976362109184265,0.2976362109184265,7.440905570983888,3.7258727550506587,0.2741272449493408
88,88,7.0,4.7,0.2979281842708588,0.2979281842708588,6.338897705078125,4.838945388793945,-0.13894538879394513
28,28,2.0,4.0,0.2985477745532989,0.2985477745532989,7.46369457244873,3.710642099380493,0.28935790061950684
141,141,11.0,5.5,0.30844175815582275,0.30844175815582275,5.6080322265625,5.193331241607666,0.306668758392334
130,130,10.0,6.0,0.31011322140693665,0.31011322140693665,5.168553352355957,5.7253289222717285,0.2746710777282715
85,85,7.0,4.0,0.3118900954723358,0.3118900954723358,7.797252178192139,4.226983547210693,-0.22698354721069336
152,152,12.0,4.7,0.31306099891662603,0.31306099891662603,6.660872936248778,4.99644660949707,-0.2964466094970701
132,132,11.0,3.0,0.3132728934288025,0.3132728934288025,10.442429542541504,3.3132729530334477,-0.3132729530334473
100,100,8.0,4.2,0.314001739025116,0.314001739025116,7.4762330055236825,3.940728664398194,0.2592713356018068
151,151,12.0,4.5,0.31401121616363525,0.31401121616363525,6.97802734375,4.185988426208496,0.3140115737915039
41,41,3.0,4.2,0.3158779442310333,0.3158779442310333,7.520904064178468,3.935580730438232,0.26441926956176776
91,91,7.0,5.7,0.3167276680469513,0.3167276680469513,5.556625843048097,5.478923320770264,0.2210766792297365
106,106,8.0,5.7,0.3189153075218201,0.3189153075218201,5.595005512237549,5.8408308029174805,-0.1408308029174803
97,97,8.0,3.5,0.3296184539794922,0.3296184539794922,9.41767120361328,3.1703815460205083,0.3296184539794922
118,118,9.0,5.0,0.3377123177051544,0.3377123177051544,6.754246711730957,5.323659896850586,-0.32365989685058594
5,5,0.0,4.5,0.348774790763855,0.348774790763855,7.750550746917725,4.790747165679932,-0.29074716567993164
109,109,8.0,6.5,0.3685934543609619,0.3685934543609619,5.67066764831543,6.345925807952881,0.15407419204711914
143,143,11.0,6.2,0.3710066974163056,0.3710066974163056,5.98397970199585,5.835655689239503,0.3643443107604982
126,126,10.0,4.5,0.3814094066619873,0.3814094066619873,8.475765228271483,4.120542526245116,0.3794574737548828
18,18,1.0,5.5,0.38260674476623535,0.38260674476623535,6.956486701965332,5.13702392578125,0.36297607421875
45,45,3.0,5.5,0.3844766318798065,0.3844766318798065,6.9904847145080575,5.141085147857666,0.358914852142334
140,140,11.0,5.2,0.3881977796554565,0.3881977796554565,7.46534252166748,4.814838886260986,0.38516111373901385
68,68,5.0,6.0,0.3933087885379791,0.3933087885379791,6.555147171020508,5.606690883636475,0.3933091163635254
127,127,10.0,4.7,0.4016385674476624,0.4016385674476624,8.545502662658691,4.298361301422118,0.4016386985778809
16,16,1.0,5.0,0.4025616943836212,0.4025616943836212,8.051233291625978,4.597438335418701,0.4025616645812988
29,29,2.0,4.2,0.404987633228302,0.404987633228302,9.642562866210938,4.604987144470215,-0.40498714447021467
110,110,8.0,6.7,0.4105254113674164,0.4105254113674164,6.12724494934082,6.384758949279785,0.315241050720215
103,103,8.0,5.0,0.41510924696922297,0.41510924696922297,8.30218505859375,4.739408493041992,0.2605915069580078
13,13,1.0,4.0,0.4167459011077881,0.4167459011077881,10.41864776611328,4.416745662689209,-0.416745662689209
167,167,14.0,3.0,0.4260929524898529,0.4260929524898529,14.20309829711914,3.4198336601257324,-0.4198336601257324
131,131,10.0,6.5,0.4353106319904328,0.4353106319904328,6.6970863342285165,6.064690113067628,0.43530988693237305
99,99,8.0,4.0,0.4391164481639862,0.4391164481639862,10.977910995483398,3.63242769241333,0.3675723075866699
64,64,5.0,4.5,0.442838579416275,0.442838579416275,9.84085750579834,4.942838668823242,-0.4428386688232422
168,168,14.0,3.2,0.4468947649002075,0.4468947649002075,13.965461730957033,3.5590407848358154,-0.35904078483581525
54,54,4.0,4.5,0.4483013451099396,0.4483013451099396,9.962252616882324,4.051698684692384,0.4483013153076172
176,176,14.0,5.7,0.4560170769691467,0.4560170769691467,8.000300407409668,6.070301055908202,-0.37030105590820295
171,171,14.0,4.2,0.4565919935703278,0.4565919935703278,10.871237754821776,4.656591892242432,-0.4565918922424314
145,145,11.0,7.0,0.459328681230545,0.459328681230545,6.561838150024414,6.540671348571777,0.4593286514282226
98,98,8.0,3.7,0.4696910977363586,0.4696910977363586,12.694353103637695,3.5639395713806152,0.13606042861938494
34,34,2.0,5.5,0.4784905910491944,0.4784905910491944,8.699828147888184,5.021509170532227,0.4784908294677734
22,22,1.0,6.5,0.4789190590381622,0.4789190590381622,7.367985725402832,6.127455234527588,0.3725447654724121
173,173,14.0,5.0,0.5012953877449036,0.5012953877449036,10.025906562805176,5.382457733154297,-0.3824577331542969
177,177,14.0,6.0,0.5097198486328125,0.5097198486328125,8.495330810546875,6.390921592712402,-0.3909215927124024
4,4,0.0,4.2,0.5107722878456116,0.5107722878456116,12.161246299743652,3.725663185119629,0.4743368148803713
92,92,7.0,6.0,0.5419265627861023,0.5419265627861023,9.032109260559082,5.5164642333984375,0.4835357666015625
46,46,3.0,6.0,0.5706599950790405,0.5706599950790405,9.511000633239746,5.429340362548828,0.5706596374511719
0,0,0.0,3.0,0.5719717144966125,0.5719717144966125,19.065723419189453,3.571971654891968,-0.5719716548919678
21,21,1.0,6.2,0.5761385560035706,0.5761385560035706,9.292557716369627,5.623861312866211,0.5761386871337892
174,174,14.0,5.2,0.6023624539375305,0.6023624539375305,11.583892822265625,5.737302780151367,-0.537302780151367
172,172,14.0,4.5,0.6075582504272461,0.6075582504272461,13.501294136047365,4.9954142570495605,-0.4954142570495606
63,63,5.0,4.2,0.6092435717582703,0.6092435717582703,14.50579833984375,4.809243202209473,-0.6092432022094725
82,82,6.0,7.0,0.617918848991394,0.617918848991394,8.827412605285645,6.384892463684082,0.615107536315918
144,144,11.0,6.5,0.6234272122383118,0.6234272122383118,9.591187477111816,5.87657356262207,0.6234264373779297
102,102,8.0,4.7,0.6441130042076111,0.6441130042076111,13.704533576965332,4.055886745452882,0.6441132545471193
20,20,1.0,6.0,0.6454887390136719,0.6454887390136719,10.758145332336426,5.354511260986328,0.6454887390136719
19,19,1.0,5.7,0.6817024350166321,0.6817024350166321,11.959692001342773,5.022150039672852,0.6778499603271486
35,35,2.0,6.0,0.7099843025207521,0.7099843025207521,11.8330717086792,5.290015697479248,0.7099843025207521
101,101,8.0,4.5,0.7236512899398804,0.7236512899398804,16.081138610839847,3.7904419898986816,0.7095580101013184
48,48,3.0,6.5,0.7265675067901611,0.7265675067901611,11.17796230316162,5.7734317779541025,0.7265682220458984
49,49,3.0,7.0,0.7397245764732361,0.7397245764732361,10.567492485046387,6.260275363922119,0.7397246360778809
81,81,6.0,6.7,0.7484577298164368,0.7484577298164368,11.171010971069336,5.951542377471924,0.7484576225280763
8,8,0.0,5.5,0.7687965631484985,0.7687965631484985,13.978118896484375,6.200904369354247,-0.7009043693542479
6,6,0.0,5.0,0.8153722882270813,0.8153722882270813,16.307445526123047,5.8153724670410165,-0.8153724670410156
108,108,8.0,6.2,0.8558235168457031,0.8558235168457031,13.80360507965088,6.947014808654785,-0.747014808654785
24,24,1.0,7.0,0.9062442779541016,0.9062442779541016,12.946346282958984,6.0937561988830575,0.9062438011169434
93,93,7.0,6.5,0.9622519016265868,0.9622519016265868,14.803874969482422,5.537748336791992,0.9622516632080078
23,23,1.0,6.7,1.0775475502014158,1.0775475502014158,16.082799911499027,5.622452259063722,1.0775477409362797
33,33,2.0,5.2,1.8580611944198608,1.8580611944198608,35.73194885253906,3.3419384956359863,1.8580615043640136
