algoName,Frame,hyperparameters,configData,accuracy,split
SVM,data1,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.9406068431245965,6
SVM,data1,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9409711202792764,4
SVM,data1,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.8762297683275151,5
SVM,data1,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9336718502062837,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.946524064171123,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.8609625668449198,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.9438502673796791,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.9264705882352942,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.8328877005347594,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.910427807486631,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.9495398286258331,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.8841637575372897,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.9463662329419232,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.9127261186924785,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.8562361155188829,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.9336718502062837,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.9478609625668449,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.8783422459893048,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.9451871657754011,6
SVM,data2,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9409711202792764,4
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.878768644874643,5
SVM,data2,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9320850523643288,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.9438669438669439,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.8336798336798337,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf1,0.9355509355509356,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.9251559251559252,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.8336798336798337,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf2,0.9313929313929314,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.949857188194224,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.8863852745160267,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf3,0.9463662329419232,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.9133608378292606,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.852427800698191,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf4,0.9336718502062837,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.9480249480249481,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.8586278586278586,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",conf5,0.9584199584199584,6
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9419231989844494,4
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.8743256109171692,5
SVM,data3,"{'pca__n_components': 25, 'svm__C': 5, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",conf6,0.9343065693430657,6
